,Game,Prize,NumPlayer,NumTournaments,Year
14,Mortal Kombat 9,"$101,300.00",24 Players,9 Tournaments,2012
15,ShootMania Storm,"$100,000.00",21 Players,2 Tournaments,2012
16,WarCraft III,"$81,561.64",32 Players,57 Tournaments,2012
17,Quake Live,"$71,284.81",30 Players,56 Tournaments,2012
18,Tekken Tag Tournament 2,"$66,720.00",47 Players,21 Tournaments,2012
19,Street Fighter X Tekken,"$66,015.64",51 Players,27 Tournaments,2012
20,Halo: Reach,"$64,567.99",57 Players,10 Tournaments,2012
21,Point Blank,"$64,500.00",49 Players,7 Tournaments,2012
22,CrossFire,"$60,774.96",122 Players,22 Tournaments,2012
23,Soul Calibur V,"$57,500.90",22 Players,9 Tournaments,2012
24,KartRider,"$53,139.00",17 Players,3 Tournaments,2012
25,FIFA 12,"$52,670.52",46 Players,51 Tournaments,2012
26,Team Fortress 2,"$40,007.80",97 Players,9 Tournaments,2012
27,Halo 4,"$40,000.00",16 Players,1 Tournament,2012
28,iRacing.com,"$32,500.00",8 Players,2 Tournaments,2012
29,Super Smash Bros. Melee,"$30,778.50",87 Players,28 Tournaments,2012
30,Call of Duty: Black Ops 2,"$29,997.95",32 Players,4 Tournaments,2012
31,Battlefield 3,"$25,407.46",5 Players,6 Tournaments,2012
32,Age of Empires II,"$24,942.94",42 Players,6 Tournaments,2012
33,King of Fighters XIII,"$21,995.00",29 Players,8 Tournaments,2012
34,Bloodline Champions,"$21,450.00",27 Players,6 Tournaments,2012
35,Super Smash Bros. Brawl,"$18,424.46",57 Players,24 Tournaments,2012
36,TrackMania Nations Forever,"$18,051.32",21 Players,13 Tournaments,2012
37,FIFA 13,"$17,123.27",21 Players,18 Tournaments,2012
38,BlazBlue: Continuum Shift II,"$16,999.58",0 Players,1 Tournament,2012
39,Call of Duty 4: Modern Warfare,"$16,525.03",51 Players,8 Tournaments,2012
40,Super Street Fighter II Turbo HD Remix,"$16,200.00",18 Players,3 Tournaments,2012
41,Street Fighter III: 3rd Strike,"$15,780.72",18 Players,4 Tournaments,2012
42,TrackMania 2: Canyon,"$13,237.04",8 Players,26 Tournaments,2012
43,Ultimate Marvel vs. Capcom 3,"$4,696.23",22 Players,6 Tournaments,2012
44,rFactor,"$4,645.73",29 Players,1 Tournament,2012
45,Gears of War 3,"$4,555.81",0 Players,2 Tournaments,2012
46,Tekken 6,"$4,541.78",7 Players,4 Tournaments,2012
47,Call of Duty 2,"$1,014.32",10 Players,1 Tournament,2012
48,Age of Mythology,$990.00,8 Players,3 Tournaments,2012
49,Project M,$751.81,10 Players,4 Tournaments,2012
50,NHL 12,$702.93,6 Players,2 Tournaments,2012
51,Persona 4 Arena,$476.63,14 Players,3 Tournaments,2012
52,Super Smash Bros.,$400.00,7 Players,2 Tournaments,2012
53,Age of Empires III,$345.00,4 Players,2 Tournaments,2012
54,QuakeWorld,$255.66,1 Player,1 Tournament,2012
55,Call of Duty: Black Ops,$240.00,0 Players,1 Tournament,2012
56,Forza Motorsport 4,$132.37,2 Players,1 Tournament,2012
57,Dead or Alive 5,$0.00,4 Players,1 Tournament,2012
58,Super Street Fighter II Turbo,$0.00,4 Players,1 Tournament,2012
0,League of Legends,"$6,226,259.63",1221 Players,369 Tournaments,2013
1,Dota 2,"$4,548,280.98",469 Players,134 Tournaments,2013
2,StarCraft II,"$3,847,464.26",615 Players,501 Tournaments,2013
3,Call of Duty: Black Ops 2,"$1,432,141.30",181 Players,48 Tournaments,2013
4,Counter-Strike: Global Offensive,"$1,211,869.54",1007 Players,199 Tournaments,2013
5,Turbo Racing League,"$1,000,000.00",16 Players,9 Tournaments,2013
6,Heroes of Newerth,"$653,370.10",313 Players,96 Tournaments,2013
7,FIFA 13,"$441,304.55",44 Players,44 Tournaments,2013
8,World of Tanks,"$429,000.00",64 Players,7 Tournaments,2013
9,Madden NFL 2013,"$400,000.00",8 Players,1 Tournament,2013
10,Halo 4,"$371,798.76",55 Players,15 Tournaments,2013
11,CrossFire,"$270,618.52",207 Players,68 Tournaments,2013
12,World of WarCraft,"$189,000.00",12 Players,1 Tournament,2013
13,Counter-Strike Online,"$142,193.60",28 Players,4 Tournaments,2013
14,ShootMania Storm,"$129,658.37",69 Players,32 Tournaments,2013
15,Super Street Fighter IV Arcade Edition,"$128,929.37",101 Players,97 Tournaments,2013
16,Magic: The Gathering Online,"$116,000.00",16 Players,1 Tournament,2013
17,StarCraft: Brood War,"$109,570.17",56 Players,35 Tournaments,2013
18,NHL 13,"$70,000.00",1 Player,1 Tournament,2013
19,Call of Duty: Ghosts,"$68,749.30",59 Players,14 Tournaments,2013
20,WarCraft III,"$66,904.83",22 Players,61 Tournaments,2013
21,Super Smash Bros. Melee,"$56,927.30",202 Players,112 Tournaments,2013
22,Quake Live,"$50,733.15",45 Players,21 Tournaments,2013
23,Point Blank,"$48,000.00",39 Players,3 Tournaments,2013
24,SMITE,"$43,472.38",25 Players,3 Tournaments,2013
25,Ultimate Marvel vs. Capcom 3,"$37,763.67",75 Players,59 Tournaments,2013
26,Age of Empires II,"$33,280.27",54 Players,6 Tournaments,2013
27,iRacing.com,"$32,000.00",10 Players,2 Tournaments,2013
28,Team Fortress 2,"$31,664.98",114 Players,11 Tournaments,2013
29,FIFA 14,"$28,687.53",19 Players,19 Tournaments,2013
30,KartRider,"$27,570.00",16 Players,1 Tournament,2013
31,Tekken Tag Tournament 2,"$24,225.86",51 Players,51 Tournaments,2013
32,Injustice: Gods Among Us,"$18,906.89",71 Players,69 Tournaments,2013
33,Super Smash Bros. Brawl,"$18,591.65",86 Players,51 Tournaments,2013
34,Street Fighter X Tekken,"$15,425.00",56 Players,51 Tournaments,2013
35,Battlefield 4,"$15,408.65",20 Players,3 Tournaments,2013
36,TrackMania 2: Stadium,"$12,008.29",23 Players,8 Tournaments,2013
37,Counter-Strike,"$10,080.00",21 Players,1 Tournament,2013
38,Project M,"$8,815.48",92 Players,44 Tournaments,2013
39,Defense of the Ancients,"$5,955.02",0 Players,2 Tournaments,2013
40,Call of Duty 4: Modern Warfare,"$5,850.23",15 Players,5 Tournaments,2013
41,King of Fighters XIII,"$5,510.00",36 Players,11 Tournaments,2013
42,Persona 4 Arena,"$5,040.00",21 Players,6 Tournaments,2013
43,rFactor,"$4,595.99",30 Players,1 Tournament,2013
44,S.K.I.L.L. - Special Force 2,"$4,054.33",10 Players,1 Tournament,2013
45,Mortal Kombat 9,"$2,640.00",16 Players,4 Tournaments,2013
46,Street Fighter IV,"$2,440.00",16 Players,1 Tournament,2013
47,Divekick,"$2,360.00",11 Players,3 Tournaments,2013
48,Age of Empires III,"$2,145.85",11 Players,2 Tournaments,2013
49,Super Smash Bros.,"$2,061.00",16 Players,5 Tournaments,2013
50,TrackMania Nations Forever,"$1,881.98",11 Players,2 Tournaments,2013
51,Age of Empires,"$1,716.00",27 Players,3 Tournaments,2013
52,TrackMania 2: Canyon,"$1,427.78",3 Players,2 Tournaments,2013
53,Hearthstone,"$1,395.34",3 Players,3 Tournaments,2013
54,Doom II: Hell on Earth,"$1,000.00",1 Player,1 Tournament,2013
55,Age of Mythology,$760.00,10 Players,4 Tournaments,2013
56,Soul Calibur V,$405.00,19 Players,3 Tournaments,2013
57,Skullgirls,$300.00,3 Players,1 Tournament,2013
58,Trackmania 2: Valley,$238.68,3 Players,1 Tournament,2013
59,Age of Empires Online,$230.00,3 Players,1 Tournament,2013
60,Dragon Ball Z: Budokai 3,$204.06,3 Players,1 Tournament,2013
61,Unreal Tournament 3,$165.00,4 Players,1 Tournament,2013
62,BlazBlue: Continuum Shift Extend,$0.00,3 Players,1 Tournament,2013
63,Dead or Alive 5 Ultimate,$0.00,11 Players,2 Tournaments,2013
0,Dota 2,"$16,608,030.59",673 Players,150 Tournaments,2014
1,League of Legends,"$8,068,170.99",1636 Players,429 Tournaments,2014
2,StarCraft II,"$3,473,756.90",500 Players,611 Tournaments,2014
3,Counter-Strike: Global Offensive,"$1,962,515.01",1415 Players,279 Tournaments,2014
4,Call of Duty: Ghosts,"$1,525,435.95",182 Players,62 Tournaments,2014
5,Hearthstone,"$1,123,245.18",309 Players,177 Tournaments,2014
6,World of Tanks,"$892,436.68",65 Players,7 Tournaments,2014
7,CrossFire,"$522,638.43",199 Players,46 Tournaments,2014
8,SMITE,"$497,909.60",81 Players,10 Tournaments,2014
9,Heroes of Newerth,"$486,110.24",248 Players,87 Tournaments,2014
10,World of WarCraft,"$410,000.00",24 Players,3 Tournaments,2014
11,WarCraft III,"$215,181.80",47 Players,29 Tournaments,2014
12,Super Smash Bros. Melee,"$168,394.13",364 Players,270 Tournaments,2014
13,Ultra Street Fighter IV,"$162,631.79",96 Players,79 Tournaments,2014
14,Attack on Titan Tribute Game,"$139,063.53",42 Players,19 Tournaments,2014
15,Battlefield 4,"$128,323.18",74 Players,67 Tournaments,2014
16,Call of Duty: Advanced Warfare,"$126,947.81",127 Players,40 Tournaments,2014
17,Magic: The Gathering Online,"$116,000.00",16 Players,1 Tournament,2014
18,KartRider,"$106,712.00",33 Players,2 Tournaments,2014
19,Halo 2 Anniversary,"$90,037.60",57 Players,7 Tournaments,2014
20,Counter-Strike Online,"$78,688.00",15 Players,2 Tournaments,2014
21,Point Blank,"$78,000.00",57 Players,4 Tournaments,2014
22,Team Fortress 2,"$72,949.72",110 Players,16 Tournaments,2014
23,FIFA 14,"$67,660.28",52 Players,50 Tournaments,2014
24,Quake Live,"$64,563.87",80 Players,81 Tournaments,2014
25,Guild Wars 2,"$60,075.36",60 Players,19 Tournaments,2014
26,Age of Empires II,"$54,558.71",130 Players,23 Tournaments,2014
27,StarCraft: Brood War,"$53,601.35",32 Players,16 Tournaments,2014
28,Project M,"$53,150.21",208 Players,107 Tournaments,2014
29,Super Street Fighter IV Arcade Edition,"$39,044.63",68 Players,52 Tournaments,2014
30,BlazBlue: Chronophantasma,"$36,535.00",50 Players,10 Tournaments,2014
31,S.K.I.L.L. - Special Force 2,"$35,929.65",10 Players,3 Tournaments,2014
32,iRacing.com,"$30,500.00",8 Players,2 Tournaments,2014
33,Pro Evolution Soccer 2014,"$29,410.25",4 Players,1 Tournament,2014
34,Tekken Tag Tournament 2,"$27,583.40",73 Players,51 Tournaments,2014
35,Killer Instinct (2013),"$22,399.80",43 Players,12 Tournaments,2014
36,Halo 4,"$18,950.00",16 Players,3 Tournaments,2014
37,Ultimate Marvel vs. Capcom 3,"$17,570.01",71 Players,32 Tournaments,2014
38,Super Smash Bros. Brawl,"$16,629.31",80 Players,33 Tournaments,2014
39,TrackMania 2: Stadium,"$16,414.15",56 Players,17 Tournaments,2014
40,ShootMania Storm,"$15,000.00",9 Players,2 Tournaments,2014
41,Injustice: Gods Among Us,"$14,900.00",56 Players,44 Tournaments,2014
42,FIFA 15,"$14,808.90",38 Players,55 Tournaments,2014
43,King of Fighters XIII,"$14,444.40",51 Players,12 Tournaments,2014
44,Heroes of the Storm,"$14,257.50",47 Players,19 Tournaments,2014
45,Halo 3,"$10,140.23",21 Players,4 Tournaments,2014
46,Super Smash Bros. for Wii U,"$9,521.65",64 Players,17 Tournaments,2014
47,Call of Duty 4: Modern Warfare,"$6,028.93",0 Players,3 Tournaments,2014
48,Age of Mythology,"$4,259.00",16 Players,8 Tournaments,2014
49,Age of Empires,"$3,740.00",24 Players,3 Tournaments,2014
50,rFactor 2,"$3,545.13",30 Players,1 Tournament,2014
51,Super Smash Bros.,"$3,073.00",28 Players,8 Tournaments,2014
52,NHL 14,"$3,023.96",6 Players,3 Tournaments,2014
53,Chess.com,"$2,999.99",17 Players,3 Tournaments,2014
54,Divekick,"$1,700.00",9 Players,3 Tournaments,2014
55,Counter-Strike,"$1,500.00",5 Players,1 Tournament,2014
56,TrackMania 2: Canyon,"$1,194.24",5 Players,2 Tournaments,2014
57,Persona 4 Arena,$820.00,11 Players,2 Tournaments,2014
58,Soul Calibur V,$635.00,32 Players,5 Tournaments,2014
59,Street Fighter X Tekken,$520.00,35 Players,7 Tournaments,2014
60,Capcom vs. SNK 2,$445.00,10 Players,2 Tournaments,2014
61,Guilty Gear XX Accent Core Plus R,$440.00,41 Players,7 Tournaments,2014
62,Under Night In-Birth EXE: Late,$320.00,16 Players,6 Tournaments,2014
63,Xonotic,$315.73,20 Players,1 Tournament,2014
64,Marvel vs. Capcom 2,$200.00,11 Players,2 Tournaments,2014
65,Dead or Alive 5 Ultimate,$0.00,33 Players,5 Tournaments,2014
66,Just Dance 2014,$0.00,3 Players,1 Tournament,2014
67,Mortal Kombat 9,$0.00,21 Players,3 Tournaments,2014
68,Persona 4 Arena Ultimax,$0.00,8 Players,1 Tournament,2014
69,Skullgirls Encore,$0.00,10 Players,2 Tournaments,2014
70,Soul Calibur II HD Online,$0.00,14 Players,2 Tournaments,2014
71,Street Fighter Alpha 3,$0.00,8 Players,1 Tournament,2014
72,Street Fighter III: 3rd Strike,$0.00,11 Players,2 Tournaments,2014
73,Super Street Fighter II Turbo,$0.00,23 Players,4 Tournaments,2014
74,Virtua Fighter 5 Final Showdown,$0.00,16 Players,2 Tournaments,2014
0,Dota 2,"$31,050,786.86",983 Players,227 Tournaments,2015
1,League of Legends,"$7,718,307.16",1902 Players,311 Tournaments,2015
2,Counter-Strike: Global Offensive,"$6,284,970.14",3019 Players,707 Tournaments,2015
3,SMITE,"$3,709,088.73",252 Players,42 Tournaments,2015
4,StarCraft II,"$3,017,759.24",501 Players,690 Tournaments,2015
5,Call of Duty: Advanced Warfare,"$2,484,861.12",758 Players,365 Tournaments,2015
6,Heroes of the Storm,"$2,470,686.83",666 Players,286 Tournaments,2015
7,Hearthstone,"$2,372,583.73",563 Players,251 Tournaments,2015
8,World of Tanks,"$1,203,054.52",246 Players,20 Tournaments,2015
9,Heroes of Newerth,"$810,839.41",259 Players,76 Tournaments,2015
10,Ultra Street Fighter IV,"$642,578.64",148 Players,123 Tournaments,2015
11,Super Smash Bros. Melee,"$514,706.42",557 Players,533 Tournaments,2015
12,CrossFire,"$500,714.08",135 Players,73 Tournaments,2015
13,World of WarCraft,"$470,948.70",82 Players,20 Tournaments,2015
14,Halo 2 Anniversary,"$378,667.45",81 Players,13 Tournaments,2015
15,FIFA Online 3,"$346,791.00",21 Players,4 Tournaments,2015
16,Super Smash Bros. for Wii U,"$274,699.63",478 Players,293 Tournaments,2015
17,Mortal Kombat X,"$232,922.43",65 Players,40 Tournaments,2015
18,Attack on Titan Tribute Game,"$220,200.00",28 Players,15 Tournaments,2015
19,WarCraft III,"$219,597.87",56 Players,58 Tournaments,2015
20,Age of Empires II,"$203,606.83",231 Players,18 Tournaments,2015
21,Vainglory,"$193,392.54",83 Players,4 Tournaments,2015
22,H1Z1,"$173,328.00",20 Players,2 Tournaments,2015
23,StarCraft: Brood War,"$153,783.67",81 Players,55 Tournaments,2015
24,Point Blank,"$143,097.75",103 Players,11 Tournaments,2015
25,Evolve,"$131,509.05",110 Players,33 Tournaments,2015
26,FIFA 15,"$129,565.09",148 Players,297 Tournaments,2015
27,Magic: The Gathering Online,"$116,000.00",16 Players,1 Tournament,2015
28,Guild Wars 2,"$115,930.14",39 Players,34 Tournaments,2015
29,Blade & Soul,"$103,401.12",16 Players,2 Tournaments,2015
30,Tekken 7,"$97,214.27",14 Players,3 Tournaments,2015
31,S.K.I.L.L. - Special Force 2,"$91,548.95",65 Players,16 Tournaments,2015
32,Battlefield 4,"$83,382.97",93 Players,69 Tournaments,2015
33,Killer Instinct (2013),"$83,227.57",43 Players,13 Tournaments,2015
34,Team Fortress 2,"$82,721.87",195 Players,18 Tournaments,2015
35,Call of Duty: Black Ops III,"$77,597.45",145 Players,23 Tournaments,2015
36,Project M,"$57,236.28",213 Players,72 Tournaments,2015
37,KartRider,"$54,188.00",12 Players,1 Tournament,2015
38,Quake Live,"$49,091.89",51 Players,41 Tournaments,2015
39,Counter-Strike Online,"$40,000.00",15 Players,1 Tournament,2015
40,iRacing.com,"$39,694.67",113 Players,6 Tournaments,2015
41,Guilty Gear Xrd -SIGN-,"$30,335.66",69 Players,28 Tournaments,2015
42,Halo 5: Guardians,"$28,490.94",35 Players,7 Tournaments,2015
43,Pro Evolution Soccer 2015,"$26,544.76",3 Players,1 Tournament,2015
44,TrackMania 2: Stadium,"$24,265.77",33 Players,15 Tournaments,2015
45,Rocket League,"$23,976.56",95 Players,79 Tournaments,2015
46,FIFA 16,"$22,133.61",19 Players,10 Tournaments,2015
47,Ultimate Marvel vs. Capcom 3,"$21,643.72",72 Players,24 Tournaments,2015
48,Chess.com,"$20,859.98",69 Players,16 Tournaments,2015
49,ShootMania Storm,"$17,028.67",14 Players,4 Tournaments,2015
50,Persona 4 Arena Ultimax,"$16,528.16",41 Players,10 Tournaments,2015
51,Super Street Fighter IV Arcade Edition,"$13,712.98",8 Players,1 Tournament,2015
52,Battlefield Hardline,"$13,463.28",20 Players,1 Tournament,2015
53,Age of Empires,"$12,939.00",26 Players,9 Tournaments,2015
54,Super Smash Bros.,"$11,915.70",57 Players,19 Tournaments,2015
55,Super Smash Bros. Brawl,"$9,890.00",43 Players,7 Tournaments,2015
56,Grey Goo,"$6,000.00",12 Players,3 Tournaments,2015
57,Call of Duty: Black Ops 2,"$5,000.00",4 Players,1 Tournament,2015
58,osu!,"$5,000.00",239 Players,1 Tournament,2015
59,Tekken Tag Tournament 2,"$4,606.44",29 Players,11 Tournaments,2015
60,rFactor 2,"$4,135.99",34 Players,1 Tournament,2015
61,Skullgirls Encore,"$3,915.40",23 Players,6 Tournaments,2015
62,Brawlhalla,"$3,710.00",48 Players,13 Tournaments,2015
63,Dead or Alive 5: Last Round,"$3,709.24",28 Players,7 Tournaments,2015
64,Overwatch,"$3,320.00",44 Players,10 Tournaments,2015
65,NHL 15,"$3,157.16",3 Players,3 Tournaments,2015
66,Call of Duty 4: Modern Warfare,"$2,703.33",0 Players,1 Tournament,2015
67,Gears of War 3,"$2,700.00",13 Players,2 Tournaments,2015
68,NHL '94,"$2,691.20",16 Players,2 Tournaments,2015
69,Project Cars,"$2,190.00",15 Players,39 Tournaments,2015
70,Wolfenstein: Enemy Territory,"$2,107.30",18 Players,1 Tournament,2015
71,Age of Empires III,"$1,995.00",16 Players,3 Tournaments,2015
72,Reflex,"$1,962.00",9 Players,3 Tournaments,2015
73,Under Night In-Birth EXE: Late,"$1,695.76",25 Players,8 Tournaments,2015
74,King of Fighters XIII,"$1,460.31",31 Players,8 Tournaments,2015
75,Street Fighter III: 3rd Strike,"$1,224.86",10 Players,4 Tournaments,2015
76,Divekick,"$1,110.00",5 Players,2 Tournaments,2015
77,Shards of War,"$1,029.21",20 Players,1 Tournament,2015
78,Rising Thunder,"$1,000.00",3 Players,1 Tournament,2015
79,Tetris,"$1,000.00",4 Players,1 Tournament,2015
80,BlazBlue: Chronophantasma Extend,$944.21,15 Players,5 Tournaments,2015
81,Soul Calibur V,$920.00,16 Players,4 Tournaments,2015
82,Injustice: Gods Among Us,$870.00,8 Players,3 Tournaments,2015
83,Splatoon,$770.00,3 Players,3 Tournaments,2015
84,Street Fighter X Tekken,$600.00,6 Players,2 Tournaments,2015
85,Age of Mythology,$556.00,4 Players,3 Tournaments,2015
86,TrackMania 2: Canyon,$540.66,3 Players,1 Tournament,2015
87,Trackmania 2: Valley,$540.66,3 Players,1 Tournament,2015
88,BlazBlue: Chronophantasma,$485.58,24 Players,5 Tournaments,2015
89,Legend of Glory,$472.66,0 Players,1 Tournament,2015
90,Nitroplus Blasterz: Heroines Infinite Duel,$464.00,3 Players,1 Tournament,2015
91,Super Street Fighter II Turbo,$328.69,6 Players,2 Tournaments,2015
92,Unreal Tournament (2016),$314.63,9 Players,2 Tournaments,2015
93,Mortal Kombat 9,$190.00,3 Players,1 Tournament,2015
94,Ultimate Mortal Kombat 3,$150.00,3 Players,1 Tournament,2015
95,Virtua Fighter 5 Final Showdown,$145.23,3 Players,1 Tournament,2015
96,Guilty Gear XX Accent Core Plus R,$120.00,10 Players,2 Tournaments,2015
97,Capcom vs. SNK 2,$61.79,3 Players,1 Tournament,2015
98,Dengeki Bunko: Fighting Climax,$60.00,3 Players,1 Tournament,2015
99,QuakeWorld,$55.09,1 Player,1 Tournament,2015
100,Marvel vs. Capcom 2,$0.00,11 Players,2 Tournaments,2015
101,Melty Blood: Actress Again,$0.00,8 Players,1 Tournament,2015
0,Dota 2,"$37,464,419.92",896 Players,154 Tournaments,2016
1,Counter-Strike: Global Offensive,"$17,266,132.50",4408 Players,861 Tournaments,2016
2,League of Legends,"$10,529,309.95",1618 Players,183 Tournaments,2016
3,Heroes of the Storm,"$4,663,149.10",388 Players,63 Tournaments,2016
4,Call of Duty: Black Ops III,"$3,862,185.84",365 Players,55 Tournaments,2016
5,Hearthstone,"$3,472,413.46",606 Players,136 Tournaments,2016
6,Halo 5: Guardians,"$3,411,240.03",176 Players,36 Tournaments,2016
7,StarCraft II,"$3,182,918.35",413 Players,651 Tournaments,2016
8,Overwatch,"$1,996,942.76",1203 Players,261 Tournaments,2016
9,SMITE,"$1,638,242.04",316 Players,21 Tournaments,2016
10,CrossFire,"$887,159.96",155 Players,20 Tournaments,2016
11,Street Fighter V,"$885,528.88",143 Players,63 Tournaments,2016
12,FIFA Online 3,"$835,082.40",54 Players,3 Tournaments,2016
13,Super Smash Bros. Melee,"$674,499.14",757 Players,750 Tournaments,2016
14,Gears of War 4,"$501,285.00",77 Players,16 Tournaments,2016
15,World of Tanks,"$482,000.00",38 Players,3 Tournaments,2016
16,World of WarCraft,"$453,000.00",72 Players,4 Tournaments,2016
17,Rocket League,"$437,430.81",280 Players,319 Tournaments,2016
18,Super Smash Bros. for Wii U,"$429,999.07",577 Players,283 Tournaments,2016
19,Vainglory,"$424,628.65",165 Players,21 Tournaments,2016
20,WarCraft III,"$419,963.19",93 Players,108 Tournaments,2016
21,Arena of Valor,"$354,141.38",25 Players,2 Tournaments,2016
22,Rainbow Six Siege,"$320,680.03",123 Players,26 Tournaments,2016
23,Guild Wars 2,"$300,000.00",100 Players,4 Tournaments,2016
24,Mortal Kombat X,"$290,129.99",45 Players,21 Tournaments,2016
25,H1Z1,"$267,244.00",18 Players,2 Tournaments,2016
26,Heroes of Newerth,"$246,433.55",101 Players,24 Tournaments,2016
27,Clash Royale,"$228,859.56",33 Players,7 Tournaments,2016
28,Gears of War: Ultimate Edition,"$170,000.00",39 Players,3 Tournaments,2016
29,Attack on Titan Tribute Game,"$157,000.00",20 Players,10 Tournaments,2016
30,Blade & Soul,"$156,182.40",28 Players,2 Tournaments,2016
31,Point Blank,"$145,000.00",74 Players,2 Tournaments,2016
32,KartRider,"$144,234.00",19 Players,3 Tournaments,2016
33,MechWarrior Online,"$143,490.00",0 Players,1 Tournament,2016
34,Call of Duty: Infinite Warfare,"$125,020.99",56 Players,4 Tournaments,2016
35,Magic: The Gathering Online,"$104,000.00",13 Players,1 Tournament,2016
36,Paladins,"$104,000.00",26 Players,2 Tournaments,2016
37,Mortal Kombat XL,"$100,941.39",24 Players,7 Tournaments,2016
38,Madden NFL 2017,"$100,000.00",16 Players,1 Tournament,2016
39,FIFA 16,"$95,694.50",54 Players,18 Tournaments,2016
40,Brawlhalla,"$78,931.09",117 Players,68 Tournaments,2016
41,Team Fortress 2,"$78,899.83",226 Players,21 Tournaments,2016
42,Tekken 7,"$78,599.54",66 Players,16 Tournaments,2016
43,StarCraft: Brood War,"$75,767.76",32 Players,13 Tournaments,2016
44,Age of Empires,"$62,321.80",99 Players,20 Tournaments,2016
45,Age of Empires II,"$56,311.14",133 Players,40 Tournaments,2016
46,Killer Instinct (2013),"$55,479.59",44 Players,12 Tournaments,2016
47,Madden NFL 2016,"$50,000.00",8 Players,1 Tournament,2016
48,iRacing.com,"$47,319.88",134 Players,8 Tournaments,2016
49,Uncharted 4: A Thief's End,"$46,235.07",5 Players,1 Tournament,2016
50,Pokkén Tournament,"$40,381.66",38 Players,10 Tournaments,2016
51,Counter-Strike Online,"$40,000.00",15 Players,1 Tournament,2016
52,Old School Runescape,"$40,000.00",4 Players,4 Tournaments,2016
53,Forza Motorsport 6,"$39,850.00",34 Players,7 Tournaments,2016
54,Project M,"$38,048.66",162 Players,48 Tournaments,2016
55,Project Cars,"$33,455.00",30 Players,49 Tournaments,2016
56,Grey Goo,"$30,400.00",16 Players,2 Tournaments,2016
57,FIFA 17,"$30,305.99",41 Players,4 Tournaments,2016
58,Guilty Gear Xrd -REVELATOR-,"$28,899.49",47 Players,11 Tournaments,2016
59,Quake Live,"$28,002.76",14 Players,25 Tournaments,2016
60,Pro Evolution Soccer 2016,"$27,243.84",17 Players,6 Tournaments,2016
61,QuakeWorld,"$25,000.00",16 Players,1 Tournament,2016
62,Chess.com,"$23,859.98",81 Players,22 Tournaments,2016
63,Ultimate Marvel vs. Capcom 3,"$18,501.06",45 Players,25 Tournaments,2016
64,Super Smash Bros.,"$18,200.77",77 Players,33 Tournaments,2016
65,Battlerite,"$12,881.74",55 Players,38 Tournaments,2016
66,TrackMania 2: Stadium,"$12,386.52",29 Players,15 Tournaments,2016
67,Ultra Street Fighter IV,"$8,546.61",42 Players,15 Tournaments,2016
68,osu!,"$8,120.00",429 Players,3 Tournaments,2016
69,Metal Gear Online,"$8,000.00",37 Players,8 Tournaments,2016
70,Guilty Gear Xrd -SIGN-,"$7,110.00",25 Players,10 Tournaments,2016
71,Battlefield 4,"$6,070.68",40 Players,3 Tournaments,2016
72,King of Fighters XIV,"$5,318.49",19 Players,4 Tournaments,2016
73,Skullgirls Encore,"$5,240.00",15 Players,5 Tournaments,2016
74,Age of Mythology,"$5,114.00",23 Players,8 Tournaments,2016
75,rFactor 2,"$4,723.91",30 Players,1 Tournament,2016
76,Pro Evolution Soccer 2017,"$4,697.71",23 Players,11 Tournaments,2016
77,Super Smash Bros. Brawl,"$4,500.54",38 Players,13 Tournaments,2016
78,BlazBlue: Chronophantasma Extend,"$3,974.56",16 Players,6 Tournaments,2016
79,Under Night In-Birth EXE: Late,"$3,050.00",19 Players,7 Tournaments,2016
80,BlazBlue: Central Fiction,"$2,836.51",11 Players,2 Tournaments,2016
81,Tekken Tag Tournament 2,"$2,520.00",13 Players,4 Tournaments,2016
82,Age of Empires III,"$2,120.00",12 Players,6 Tournaments,2016
83,Naruto Shippuden: Ultimate Ninja Storm 4,"$2,000.00",0 Players,2 Tournaments,2016
84,Dead or Alive 5: Last Round,"$1,934.58",14 Players,5 Tournaments,2016
85,Call of Duty: Modern Warfare 2,"$1,700.00",12 Players,1 Tournament,2016
86,Skullgirls 2nd Encore,"$1,700.00",8 Players,1 Tournament,2016
87,Tetris,"$1,500.00",2 Players,1 Tournament,2016
88,Super Street Fighter II Turbo,"$1,459.72",17 Players,4 Tournaments,2016
89,Nitroplus Blasterz: Heroines Infinite Duel,"$1,380.00",5 Players,2 Tournaments,2016
90,Xonotic,"$1,283.15",56 Players,3 Tournaments,2016
91,Persona 4 Arena Ultimax,"$1,250.00",11 Players,4 Tournaments,2016
92,Unreal Tournament (2016),"$1,071.42",17 Players,3 Tournaments,2016
93,Vampire Savior,$918.74,9 Players,3 Tournaments,2016
94,Guilty Gear XX Accent Core Plus R,$870.00,5 Players,2 Tournaments,2016
95,King of Fighters XIII,$834.57,9 Players,3 Tournaments,2016
96,NHL '94,$806.16,7 Players,3 Tournaments,2016
97,Melty Blood: Actress Again Current Code,$700.00,8 Players,1 Tournament,2016
98,Dengeki Bunko: Fighting Climax Ignition,$662.30,11 Players,2 Tournaments,2016
99,Splatoon,$620.00,0 Players,1 Tournament,2016
100,Trackmania Turbo,$566.91,3 Players,1 Tournament,2016
101,Injustice: Gods Among Us,$500.00,3 Players,1 Tournament,2016
102,Rivals of Aether,$500.00,2 Players,2 Tournaments,2016
103,Bloodline Champions,$455.32,6 Players,4 Tournaments,2016
